id,source,url,publish_time,crawl_time,title,raw_text,metadata_json
WH-20240601-001,local_gov_hotline,,2024-06-01 09:30:00,2024-06-15 10:00:00,楼道灯不亮,"丰宁小区3栋的楼道灯坏了快两个月了，打了物业电话一直说在处理，到现在还是摸黑上楼。家里有老人，晚上看不清台阶太危险了。","{""district"":""丰宁街道""}"
WH-20240605-002,social_media_weibo,https://weibo.com/example/wuhua002,2024-06-05 14:20:00,2024-06-06 08:00:00,电梯故障频发,"电梯经常出故障，物业只说已上报但不处理。住了十年了，最近半年电梯问题越来越多，老人小孩每天提心吊胆。","{""district"":""莲华街道""}"
WH-20240610-003,community_feedback,,2024-06-10 11:00:00,2024-06-12 09:00:00,物业费与服务不匹配,"物业费在交，但服务跟不上，绿化没人打理，保安形同虚设，业主意见很大。","{""district"":""黑林铺街道""}"
WH-20240615-004,social_media_weibo,https://weibo.com/example/wuhua004,2024-06-15 16:45:00,2024-06-16 08:00:00,外墙脱落危险,"外墙脱落很危险，物业说没钱修。大块瓷砖掉下来，差点砸到人，这都半年了也没动静。","{""district"":""红云街道""}"
WH-20240620-005,local_gov_hotline,,2024-06-20 08:15:00,2024-06-21 10:00:00,物业推诿不作为,"找物业反映漏水问题，来回踢皮球，开发商说找物业，物业说找开发商，业主夹在中间没人管。","{""district"":""大观街道""}"
WH-20240625-006,social_media_douyin,https://douyin.com/example/wuhua006,2024-06-25 20:30:00,2024-06-26 09:00:00,翠湖垃圾溢出,"翠湖公园东门附近垃圾桶溢出来了，夏天味道特别大，游客那么多也不清理一下。严重影响昆明形象！！！","{""district"":""华山街道""}"
WH-20240701-007,community_feedback,,2024-07-01 10:00:00,2024-07-02 08:00:00,非法小广告泛滥,"学府路沿线电线杆上贴满了小广告，办证的、通下水道的，刚清理完第二天又贴上了，能不能有个长效措施？","{""district"":""莲华街道""}"
WH-20240705-008,social_media_weibo,https://weibo.com/example/wuhua008,2024-07-05 13:20:00,2024-07-06 08:00:00,道路不洁,"小西门附近几条背街小巷脏乱差，污水横流，走路都要踮着脚。创卫都这么多年了怎么还这样。","{""district"":""护国街道""}"
WH-20240710-009,gov_platform,https://gov.example.com/wuhua/w009,2024-07-10 09:40:00,2024-07-11 10:00:00,私搭乱建无人管,"虹山片区有人在楼顶私搭乱建，占了公共通道，存在很大安全隐患，反映了多次都没人处理。","{""district"":""丰宁街道""}"
WH-20240715-010,local_gov_hotline,,2024-07-15 15:00:00,2024-07-16 08:00:00,井盖缺失危险,"普吉路上有一个下水道井盖缺失好几天了，晚上骑车根本看不见，太危险了。赶紧派人来修！","{""district"":""普吉街道""}"
